File;Class
resizedDataset/scan_00082/00007_00082_outdoor_000_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_000_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_000_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_000_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_000_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_000_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0400.png;1
resizedDataset/scan_00082/00007_00082_outdoor_010_0401.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0400.png;1
resizedDataset/scan_00082/00007_00082_outdoor_020_0401.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0400.png;1
resizedDataset/scan_00082/00007_00082_outdoor_030_0401.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0400.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0401.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0500.png;1
resizedDataset/scan_00082/00007_00082_outdoor_040_0501.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0200.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0201.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0300.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0301.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0400.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0401.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0500.png;1
resizedDataset/scan_00082/00007_00082_outdoor_050_0501.png;1
resizedDataset/scan_00082/00007_00082_outdoor_060_0000.png;1
resizedDataset/scan_00082/00007_00082_outdoor_060_0001.png;1
resizedDataset/scan_00082/00007_00082_outdoor_060_0100.png;1
resizedDataset/scan_00082/00007_00082_outdoor_060_0101.png;1
resizedDataset/scan_00082/00007_00082_outdoor_060_0200.png;1
